Users,sku,Purchase
100307344,SOLNSL0001,Shenga Chutney (Solapur Spl)
100307342,HYDKBA0012,Karachi Fruit Biscuit (Pack Of 2)
100307342,HUBPOF0006,Shenga (Groundnut) Chutney (Pack of 2)
100307341,CCJCBC0008,Cut Chips (Varutha Upperi)
100307340,CCJCBC0007,Banana Chips
100307339,HYDVLK0024,Boondi Laddu
100307338,VRDRMB0001,Mathura Peda
100307337,PNQLNC0006,Laxminarayan Chiwda (Poha) (Pack of 2)
100307335,AGRPRP0007,Dry Petha
100307334,GOIMAC0001,Guava Cheese (Guava Bar)
100307331,GOIMAC0001,Guava Cheese (Guava Bar)
100307330,PMYJUB0005,Ker Sangri Pickle (Pack of 2)
100307329,BKBROP0010,Mini Samosa
100307329,HYDKBA0012,Karachi Fruit Biscuit (Pack Of 2)
100307329,JODJOS0006,Dry Fruit Kachori
100307327,PNQDSE0011,Gond Laddu
100307326,AHMSFP0003,Kesar Mohanthal
100307324,CMBVMS0004,Sambar Powder (Set of 2)
100307324,HYDKBA0012,Karachi Fruit Biscuit (Pack Of 2)
100307324,AGRPAN0012,Dalmoth Special
100307324,AGRPAN0002,Plain Petha
100307323,AGRPRP0005,Chocolate Petha
100307319,CCJKBC0005,Kumari Banana Chips
100307319,PNQLNC0006,Laxminarayan Chiwda (Poha) (Pack of 2)
100307319,PNQRBC0009,Special with Badam Chiwda (Pack of 2)
100307318,GOIMAC0001,Guava Cheese (Guava Bar)
100307318,PNQDBC0008,Mango Cubes
100307317,IDRTOM0014,Gud Gajak
100307317,IDRTOM0027,Panchratna Gajak
100307315,BLRSVC0006,Avre Bele Mixture
100307315,HYDKBA0002,Cashew Biscuit Premium
100307314,NAGSSP0005,Saoji Magic Mix (Pack of 10)
100307314,PMYOSF0004,Hing Sev Namkeen
100307314,PNQGBC0001,Chatpati Bhel
100307313,VRDRMB0001,Mathura Peda
100307310,NAGHLR0001,Orange Burfee
100307310,PNQLNC0006,Laxminarayan Chiwda (Poha) (Pack of 2)
